,Mkt-RF,SMB,HML,RMW,CMA,RF,excess_returns
2022-11-29,-0.19,0.35,1.04,0.21,0.51,0.014,-0.015088060463992347
2022-11-30,3.12,-0.15,-2.08,-0.77,-1.47,0.014,0.030662291261684307
2022-12-01,-0.02,0.04,-0.69,-0.34,-0.36,0.016,0.013197051982906563
2022-12-02,-0.08,0.84,-0.56,-0.4,0.26,0.016,-0.0038419567426079965
2022-12-05,-2.02,-0.53,-0.54,0.87,1.1,0.016,-0.04803200221779423
2022-12-06,-1.51,-0.03,1.14,0.86,0.77,0.016,-0.044955504732374404
2022-12-07,-0.24,-0.18,-0.32,0.09,-0.16,0.016,-0.029844527123298867
2022-12-08,0.76,-0.1,-1.2,-0.56,-0.63,0.016,0.012077777802952841
2022-12-09,-0.8,-0.53,0.34,0.19,0.13,0.016,-0.03805882647576085
2022-12-12,1.41,-0.27,-0.16,-0.23,-0.13,0.016,0.013001019540284112
2022-12-13,0.66,0.07,-0.77,-0.27,-0.54,0.016,-0.04000830313862379
2022-12-14,-0.56,0.03,-0.45,-0.19,-0.07,0.016,-0.04380750997584114
2022-12-15,-2.57,-0.13,1.39,0.25,0.42,0.016,-0.062204628079612564
2022-12-16,-1.02,0.54,0.17,-0.08,0.46,0.016,-0.022920463562711588
2022-12-19,-1.0,-0.6,1.25,0.73,1.2,0.016,-0.06361903179568017
2022-12-20,0.13,0.25,0.25,-0.46,0.48,0.016,-0.028195052453833122
2022-12-21,1.53,0.14,-0.12,0.39,-0.29,0.016,-0.007358062774372773
2022-12-22,-1.52,0.22,0.38,-0.13,0.89,0.016,-0.03803186089288667
2022-12-23,0.52,-0.35,1.16,0.86,0.53,0.016,-0.02100625319134762
2022-12-27,-0.5,-0.42,1.42,1.15,1.35,0.016,-0.04744654163496252
2022-12-28,-1.24,-0.3,-0.28,-0.93,-0.08,0.016,-0.016
2022-12-29,1.87,1.02,-1.06,-1.03,-0.9,0.016,0.029454596122013413
2022-12-30,-0.22,0.14,-0.04,-0.54,-0.02,0.016,-0.004819857086279841
2023-01-03,-0.47,0.08,-0.1,0.27,0.54,0.017,-0.024371058610079474
2023-01-04,0.81,0.56,0.05,-0.69,0.0,0.017,0.01765343262562359
2023-01-05,-1.14,0.17,1.2,0.81,0.9,0.017,-0.04690430744818529
2023-01-06,2.21,-0.01,0.03,0.82,0.18,0.017,0.00026268178168011025
2023-01-09,0.04,0.33,-1.23,-0.65,-1.16,0.017,0.019363659483013676
2023-01-10,0.79,0.87,-0.56,-0.4,-0.5,0.017,0.0028830494153865432
2023-01-11,1.25,0.01,-0.83,-0.19,-1.07,0.017,-0.012412848551820552
2023-01-12,0.45,1.4,-0.27,-1.1,-0.51,0.017,0.014963439001751136
2023-01-13,0.46,0.24,-0.31,-0.14,-0.29,0.017,0.013973421919550325
2023-01-17,-0.18,-0.01,-0.55,-0.61,-0.43,0.017,0.004459310030934818
2023-01-18,-1.55,0.02,-0.71,0.27,0.02,0.017,-0.03905882647576085
2023-01-19,-0.86,-0.1,0.84,0.54,0.7,0.017,-0.04492698358358836
2023-01-20,1.94,-0.04,-0.68,-0.17,-0.8,0.017,0.03493373006886581
2023-01-23,1.28,-0.04,-0.99,-0.41,-1.04,0.017,0.0029579381562271495
2023-01-24,-0.16,-0.16,0.18,-0.19,0.38,0.017,-0.017
2023-01-25,0.0,0.13,0.69,0.06,0.21,0.017,-0.01905977937024693
2023-01-26,1.09,-0.64,0.01,-0.2,-0.47,0.017,-0.02215988020905256
2023-01-27,0.34,0.33,-1.13,-0.6,-1.29,0.017,0.060800827104689495
2023-01-30,-1.38,0.03,0.74,0.36,0.93,0.017,-0.04009920277786337
2023-01-31,1.58,0.93,-0.06,-0.1,-0.55,0.017,0.008615787059456662
2023-02-01,1.19,0.63,-1.65,-0.12,-1.15,0.018,0.017542736885924465
2023-02-02,1.54,1.15,-2.07,-0.24,-1.76,0.018,0.015395233698427786
2023-02-03,-1.08,0.4,0.98,1.01,1.05,0.018,-0.05390669298716387
2023-02-06,-0.73,-0.8,0.43,-0.23,0.46,0.018,-0.031035325198508806
2023-02-07,1.25,-0.5,-0.04,0.3,-0.36,0.018,-0.02271699895617672
2023-02-08,-1.18,-0.69,0.71,-0.29,-0.04,0.018,-0.025582931019879167
2023-02-09,-0.94,-0.61,0.21,0.31,0.38,0.018,-0.05524931550870214
2023-02-10,0.12,-0.3,1.5,0.54,0.91,0.018,-0.027920672839942023
2023-02-13,1.14,0.09,-0.73,0.49,-0.31,0.018,-0.024011970811066746
2023-02-14,0.12,-0.05,-0.68,-0.61,-0.94,0.018,-0.003887062273586244
2023-02-15,0.5,0.72,-0.91,-1.19,-1.06,0.018,0.038660007062498294
2023-02-16,-1.37,0.22,0.97,0.81,0.92,0.018,-0.045281275515609884
2023-02-17,-0.28,0.66,-0.14,0.14,0.56,0.018,-0.017032859890303325
2023-02-21,-2.16,-1.13,0.88,0.38,0.83,0.018,-0.061478332981042424
2023-02-22,-0.04,0.44,-0.46,-0.35,-0.43,0.018,-0.012949475488738687
2023-02-23,0.47,0.12,-0.23,0.2,-0.49,0.018,-0.003929613466686615
2023-02-24,-1.08,-0.24,1.26,0.31,0.42,0.018,-0.06755401312573416
2023-02-27,0.31,0.05,-0.3,0.07,-0.45,0.018,-0.004444201003913833
2023-02-28,-0.26,0.52,-0.69,-0.57,-0.18,0.018,0.018008170594669987
2023-03-01,-0.41,0.39,0.62,0.15,0.73,0.016,-0.04976367059500962
2023-03-02,0.67,-0.52,-0.44,-0.12,0.16,0.016,-0.027305206767971088
2023-03-03,1.61,-0.08,-0.54,-0.37,-0.77,0.016,0.013106001694605643
2023-03-06,-0.13,-1.57,-0.08,0.31,-0.12,0.016,-0.034181753377500165
2023-03-07,-1.45,0.63,-0.68,-0.13,-0.12,0.016,-0.04686421630588787
2023-03-08,0.08,0.07,-0.39,0.43,-0.15,0.016,0.008416087088485083
2023-03-09,-2.02,-0.7,-0.76,1.06,0.74,0.016,-0.037761662844392405
2023-03-10,-1.68,-1.41,0.72,1.08,1.16,0.016,-0.06155078078552255
